Date;CCMIX
20161231;1000
20170101;1035.38
20170102;1047.38
20170103;1069.38
20170104;1157.96
20170105;1020.5
20170106;955.96
20170107;942.2
20170108;973.62
20170109;954.29
20170110;966.84
20170111;849.39
20170112;880.91
20170113;880.13
20170114;886.59
20170115;873.88
20170116;882.24
20170117;956.77
20170118;931.02
20170119;964.79
20170120;956.61
20170121;984.21
20170122;980.7
20170123;979.11
20170124;960.12
20170125;952.58
20170126;971.25
20170127;978.12
20170128;979.77
20170129;974.27
20170130;980.71
20170131;1011.49
20170201;1035.6
20170202;1064.46
20170203;1067.74
20170204;1088.51
20170205;1071.53
20170206;1086.1
20170207;1112.38
20170208;1118.66
20170209;1026.24
20170210;1068.89
20170211;1077.7
20170212;1063.46
20170213;1060.38
20170214;1079.72
20170215;1084.69
20170216;1104.97
20170217;1126.93
20170218;1132.47
20170219;1123.61
20170220;1131.49
20170221;1184.49
20170222;1197.44
20170223;1234.54
20170224;1246.47
20170225;1230.98
20170226;1252.35
20170227;1273.99
20170228;1279.25
20170301;1312.85
20170302;1360.99
20170303;1382.79
20170304;1363.31
20170305;1372.19
20170306;1380.59
20170307;1344.14
20170308;1252.74
20170309;1294.62
20170310;1197.68
20170311;1276.93
20170312;1340.83
20170313;1384
20170314;1394.29
20170315;1414.77
20170316;1363.58
20170317;1323.54
20170318;1115.14
20170319;1254.81
20170320;1230.23
20170321;1297.2
20170322;1202.73
20170323;1243.67
20170324;1195.14
20170325;1190.3
20170326;1211.89
20170327;1261.42
20170328;1268.33
20170329;1289.31
20170330;1281.95
20170331;1303.33
20170401;1317.25
20170402;1339.88
20170403;1382.32
20170404;1366.49
20170405;1356.03
20170406;1423.56
20170407;1426.02
20170408;1414.06
20170409;1442.45
20170410;1435.59
20170411;1458.05
20170412;1455.99
20170413;1411.21
20170414;1411.78
20170415;1426.2
20170416;1415.66
20170417;1432.57
20170418;1446.99
20170419;1451.96
20170420;1487.93
20170421;1492.8
20170422;1493.97
20170423;1495.22
20170424;1509.19
20170425;1536.56
20170426;1561.38
20170427;1641.13
20170428;1613.36
20170429;1668.6
20170430;1697.66
20170501;1771.93
20170502;1776.29
20170503;1867.55
20170504;1892.06
20170505;1934.99
20170506;2002.39
20170507;2035.48
20170508;2124.21
20170509;2188.26
20170510;2265.41
20170511;2320.56
20170512;2185.8
20170513;2268.32
20170514;2320.65
20170515;2264.84
20170516;2357.46
20170517;2483.7
20170518;2545.5
20170519;2667.06
20170520;2791.46
20170521;2821.78
20170522;2992.17
20170523;3095.87
20170524;3375.98
20170525;3335.93
20170526;3121.37
20170527;2781.14
20170528;2884.95
20170529;3198.41
20170530;3169.1
20170531;3253.38
20170601;3472.1
20170602;3483.9
20170603;3573.75
20170604;3595.87
20170605;3772.77
20170606;3997.11
20170607;3847.17
20170608;3866.99
20170609;3991.08
20170610;4078.7
20170611;4286.97
20170612;3976.82
20170613;4141.13
20170614;3934.91
20170615;3608
20170616;3820.55
20170617;4075.32
20170618;3830.61
20170619;3999.34
20170620;4188.73
20170621;3920.51
20170622;3986.9
20170623;4074.23
20170624;3855.24
20170625;3628.91
20170626;3328.37
20170627;3584.52
20170628;3883.58
20170629;3786.94
20170630;3693.85
20170701;3447.94
20170702;3654.54
20170703;3728.51
20170704;3717.04
20170705;3738.13
20170706;3723.99
20170707;3543.06
20170708;3543.73
20170709;3546.07
20170710;3261.43
20170711;3055.35
20170712;3240.15
20170713;3150.65
20170714;2916.49
20170715;2742.7
20170716;2462.67
20170717;2897.06
20170718;3308.58
20170719;3029.75
20170720;3574.36
20170721;3423.46
20170722;3643.85
20170723;3665.85
20170724;3614.87
20170725;3182.44
20170726;3263.46
20170727;3334.81
20170728;3430.91
20170729;3422.13
20170730;3401.51
20170731;3563.07
20170801;3833.38
20170802;3984.5
20170803;3972.77
20170804;3862.97
20170805;4280.54
20170806;4377.79
20170807;4490.8
20170808;4751.98
20170809;4691.64
20170810;4706.58
20170811;4812.69
20170812;4969.35
20170813;4996.8
20170814;5171.52
20170815;4936.17
20170816;5221.6
20170817;5275.36
20170818;5192.71
20170819;5355.52
20170820;5364.78
20170821;5431.51
20170822;5642.57
20170823;5648.72
20170824;5724.54
20170825;5804.15
20170826;5862.38
20170827;5877.71
20170828;5963.06
20170829;6201.15
20170830;6293.25
20170831;6546.59
20170901;6745.82
20170902;6039.17
20170903;6174.61
20170904;5739.96
20170905;5864.52
20170906;6103.76
20170907;6112.06
20170908;5593.08
20170909;5643.02
20170910;5650.94
20170911;5537.13
20170912;5498.9
20170913;5116.68
20170914;4441.83
20170915;4852.54
20170916;4771.82
20170917;4838.28
20170918;5228.31
20170919;5115.76
20170920;5177.82
20170921;4744.82
20170922;4717
20170923;4969.18
20170924;4876.7
20170925;5184.11
20170926;5146.09
20170927;5490.39
20170928;5441.54
20170929;5389.33
20170930;5575.87
20171001;5528.95
20171002;5545.04
20171003;5411.03
20171004;5334.03
20171005;5517.68
20171006;5539.53
20171007;5557.74
20171008;5783.14
20171009;5782.8
20171010;5888.36
20171011;5876.7
20171012;6195.55
20171013;6586.03
20171014;6694.69
20171015;6499.45
20171016;6628.05
20171017;6441.06
20171018;6302.42
20171019;6439.36
20171020;6590.86
20171021;6609.21
20171022;6426.52
20171023;6376.1
20171024;6326.47
20171025;6342.55
20171026;6433.35
20171027;6390.89
20171028;6388.52
20171029;6832.36
20171030;6736.84
20171031;6910.94
20171101;6999.45
20171102;7281.02
20171103;7621.92
20171104;7693.96
20171105;7615.09
20171106;7518.29
20171107;7457.41
20171108;7764.16
20171109;7801.79
20171110;7537.34
20171111;7903.98
20171112;7678.43
20171113;7976.91
20171114;8080.52
20171115;8402.89
20171116;8654.87
20171117;8745.69
20171118;8979.07
20171119;9100.14
20171120;9420.25
20171121;9294.79
20171122;9546.2
20171123;9973.68
20171124;10317.69
20171125;10697.71
20171126;11123.91
20171127;11354.56
20171128;11577.58
20171129;11426.13
20171130;10875.93
20171201;12079.09
20171202;12130.97
20171203;12171.72
20171204;12554.18
20171205;12776.93
20171206;13465.75
20171207;15358.28
20171208;15717.7
20171209;14973.26
20171210;14473.16
20171211;16726.34
20171212;18482.26
20171213;18655.36
20171214;19485.4
20171215;20000.4
20171216;21272.94
20171217;21633.37
20171218;22102.07
20171219;21053.35
20171220;21301.52
20171221;21211.16
20171222;19286.74
20171223;21026.12
20171224;18134.91
20171225;19169.37
20171226;20727.75
20171227;20616.21
20171228;19336.45
20171229;21591.41
20171230;20303.31
20171231;21605.94
20180101;21251.9
20180102;23360.22
20180103;24579.35
20180104;24502.24
20180105;25774.27
20180106;26556.22
20180107;26506.94
20180108;25259.3
20180109;25065.49
20180110;25217.78
20180111;23510.92
20180112;24329.33
20180113;25703.96
20180114;24227.48
20180115;24754.96
20180116;18073.03
20180117;19777.43
20180118;20230.95
20180119;19780.36
20180120;22377
20180121;19640
20180122;17919.63
20180123;18976.7
20180124;19447.43
20180125;19608.95
20180126;18975.99
20180127;20104.78
20180128;20933
20180129;20082.32
20180130;18026.63
20180131;18015
20180201;16355.41
20180202;15016.9
20180203;16232.99
20180204;14102.46
20180205;12312.58
20180206;13565.56
20180207;14010.02
20180208;14327.81
20180209;15195.79
20180210;14773.78
20180211;14970.55
20180212;15719.73
20180213;15238.85
20180214;16747.94
20180215;17307.59
20180216;17831.47
20180217;18854.27
20180218;18421.29
20180219;18805.75
20180220;19251.16
20180221;16990.36
20180222;16312.17
20180223;16496.81
20180224;15872.98
20180225;16169.12
20180226;17204.66
20180227;17646.96
20180228;17180.8
20180301;17643.81
20180302;17571.98
20180303;17732.41
20180304;18020.19
20180305;18125.62
20180306;17112.75
20180307;15711.94
20180308;14778.84
20180309;14398.28
20180310;14110.84
20180311;15273.13
20180312;14387.4
20180313;14382.91
20180314;13110.67
20180315;12905.45
20180316;13269.59
20180317;12037.57
20180318;11490.49
20180319;12723.72
20180320;13525.04
20180321;13392.7
20180322;12866.67
20180323;12815.37
20180324;13252.65
20180325;12842.96
20180326;11651.98
20180327;11703.67
20180328;11495.45
20180329;10164.62
20180330;9936.43
20180331;10015.2
20180401;9868.83
20180402;9908.79
20180403;10700.63
20180404;9835.4
20180405;9768.73
20180406;9489.82
20180407;10032.67
20180408;10032.3
20180409;9712.01
20180410;10032.01
20180411;10225.87
20180412;11507.72
20180413;12000.72
20180414;12206.69
20180415;12670.43
20180416;12204.22
20180417;12224.3
20180418;12937.62
20180419;13355.85
20180420;14456.06
20180421;14450.59
20180422;15004.42
20180423;15200.34
20180424;16437.09
20180425;15189.25
20180426;15405.98
20180427;15242.83
20180428;16031.43
20180429;16092.78
20180430;15867.37
20180501;15497.21
20180502;15949.76
20180503;16820.81
20180504;17011.08
20180505;17271.03
20180506;16827.63
20180507;16619.37
20180508;16066.98
20180509;16162.5
20180510;15828.21
20180511;14371.71
20180512;14507.29
20180513;15318.54
20180514;15403.34
20180515;14770.87
20180516;14337.57
20180517;14125.26
20180518;14174.12
20180519;14211.3
20180520;14797
20180521;14408.29
20180522;13741.76
20180523;12650.55
20180524;12746.23
20180525;12521.31
20180526;12732.86
20180527;12234.04
20180528;11782.21
20180529;12448.41
20180530;12099.12
20180531;12553.64
20180601;12349.76
20180602;12869.89
20180603;13237.92
20180604;12828.04
20180605;13067.75
20180606;12974.88
20180607;13019.84
20180608;12968.14
20180609;12922.72
20180610;11258.69
20180611;11212.24
20180612;10746.54
20180613;10232.71
20180614;11092.56
20180615;10700.6
20180616;10712.19
20180617;10664.97
20180618;11036.72
20180619;11058.78
20180620;11099.43
20180621;11003.02
20180622;9812.66
20180623;9914.62
20180624;9878.8
20180625;9921.54
20180626;9694.8
20180627;9612.84
20180628;9460.59
20180629;9137.99
20180630;9869.87
20180701;9898.44
20180702;10475.37
20180703;10450.45
20180704;10556.72
20180705;10202.49
20180706;10266.28
20180707;10139.87
20180708;10576.68
20180709;10373.43
20180710;9777.39
20180711;9693.07
20180712;9424.81
20180713;9514.85
20180714;9646.88
20180715;9892.78
20180716;10419.29
20180717;11269.51
20180718;11098.41
20180719;11077.89
20180720;10694.19
20180721;10951.46
20180722;11033.51
20180723;11003.11
20180724;11670.04
20180725;11707.27
20180726;11608.74
20180727;11639.68
20180728;11537.24
20180729;11576.41
20180730;11394.81
20180731;10774.34
20180801;10471.46
20180802;10474.24
20180803;10399.26
20180804;9946.02
20180805;10102.98
20180806;9886.23
20180807;9627.22
20180808;8712.4
20180809;8980.19
20180810;8491.16
20180811;8503.06
20180812;8381.25
20180813;8018.2
20180814;7543.16
20180815;8072.72
20180816;7968.82
20180817;8444.51
20180818;8214.88
20180819;8556.28
20180820;8315.73
20180821;8187.7
20180822;7962.72
20180823;8094.39
20180824;8319.1
20180825;8402.02
20180826;8304.69
20180827;8446.57
20180828;8980.87
20180829;8902.76
20180830;8697.07
20180831;8853.79
20180901;9212.23
20180902;9211.69
20180903;9211.78
20180904;9230.01
20180905;8398.99
20180906;7830.74
20180907;7783.08
20180908;7302.98
20180909;7598.14
