date;HODL5
20161231;100
20170101;102.22
20170102;104.68
20170103;107.38
20170104;115.92
20170105;105.88
20170106;102.83
20170107;101.63
20170108;101.76
20170109;102.64
20170110;104.21
20170111;95.63
20170112;95.16
20170113;96.52
20170114;96.82
20170115;96.62
20170116;96.75
20170117;101.26
20170118;100.74
20170119;101.83
20170120;103.53
20170121;105.57
20170122;104.89
20170123;104.98
20170124;103.91
20170125;102.27
20170126;103.78
20170127;103.31
20170128;103.08
20170129;103.06
20170130;103.87
20170131;106.62
20170201;106.61
20170202;109.65
20170203;109.95
20170204;110.9
20170205;110.74
20170206;111.99
20170207;113.92
20170208;113.88
20170209;106.92
20170210;107.37
20170211;109.81
20170212;109.51
20170213;108.51
20170214;113.25
20170215;113.6
20170216;115.26
20170217;115.74
20170218;115.08
20170219;115.03
20170220;115.28
20170221;117.53
20170222;119.01
20170223;120.77
20170224;124.13
20170225;121.86
20170226;125.12
20170227;128.3
20170228;129.28
20170301;132.42
20170302;143.62
20170303;146.49
20170304;146.23
20170305;146.07
20170306;148.81
20170307;146.27
20170308;138.9
20170309;139.17
20170310;143
20170311;144.55
20170312;154.12
20170313;176.41
20170314;172.56
20170315;181.47
20170316;206.15
20170317;215.51
20170318;187.38
20170319;196.96
20170320;211.54
20170321;209.05
20170322;197.08
20170323;206.03
20170324;226.3
20170325;230.2
20170326;226.68
20170327;232.31
20170328;232.22
20170329;239.5
20170330;248.21
20170331;247.73
20170401;259.93
20170402;282.94
20170403;288.2
20170404;271.55
20170405;280.61
20170406;278.9
20170407;279.2
20170408;285.08
20170409;278.25
20170410;280.49
20170411;280.58
20170412;283.51
20170413;292.48
20170414;286.18
20170415;286.99
20170416;286.29
20170417;289.4
20170418;291.38
20170419;291.87
20170420;287.05
20170421;298.09
20170422;295.63
20170423;299.2
20170424;304.1
20170425;308.86
20170426;319.68
20170427;334.2
20170428;361.78
20170429;382.87
20170430;386.28
20170501;407.51
20170502;413.87
20170503;428.39
20170504;489.05
20170505;524.94
20170506;508.76
20170507;555.16
20170508;638.18
20170509;604.44
20170510;630.17
20170511;643.34
20170512;659.96
20170513;643.49
20170514;668.47
20170515;703.48
20170516;750.28
20170517;840.37
20170518;845.05
20170519;893.71
20170520;910.69
20170521;922.5
20170522;978.72
20170523;1026.43
20170524;1091.68
20170525;1096.45
20170526;1034.53
20170527;840.05
20170528;864.48
20170529;947.06
20170530;950.65
20170531;1012.43
20170601;1097.92
20170602;1107.72
20170603;1117.26
20170604;1153.44
20170605;1165.64
20170606;1228.28
20170607;1220
20170608;1196.27
20170609;1246.4
20170610;1266.91
20170611;1337.41
20170612;1360.07
20170613;1346.38
20170614;1320.34
20170615;1108.16
20170616;1245.17
20170617;1302.29
20170618;1320.14
20170619;1306.77
20170620;1387.49
20170621;1293.24
20170622;1308.53
20170623;1316.35
20170624;1287.76
20170625;1228.39
20170626;1085.1
20170627;1045.09
20170628;1210.72
20170629;1214.83
20170630;1198.49
20170701;1138.42
20170702;1128.86
20170703;1191.88
20170704;1184.16
20170705;1157.56
20170706;1169.95
20170707;1106.5
20170708;1112.53
20170709;1111.63
20170710;1006.67
20170711;954.35
20170712;984.94
20170713;972.1
20170714;928.31
20170715;858.35
20170716;763.09
20170717;832.85
20170718;981.94
20170719;980.98
20170720;1053.54
20170721;1069.67
20170722;1086.47
20170723;1099.17
20170724;1089.25
20170725;1010.94
20170726;958.23
20170727;987.6
20170728;1015.16
20170729;984.19
20170730;1012.23
20170731;1014.58
20170801;1035.09
20170802;1042.65
20170803;1070.33
20170804;1084.32
20170805;1188.74
20170806;1220.9
20170807;1259.16
20170808;1288.26
20170809;1269.29
20170810;1326.24
20170811;1321.95
20170812;1404.62
20170813;1396.05
20170814;1436.52
20170815;1353.84
20170816;1444.5
20170817;1456.01
20170818;1428.76
20170819;1363.1
20170820;1395.25
20170821;1435.68
20170822;1432.08
20170823;1579.49
20170824;1580.42
20170825;1578.37
20170826;1539.75
20170827;1556.77
20170828;1559.99
20170829;1665.42
20170830;1691.27
20170831;1745.33
20170901;1797.62
20170902;1656.91
20170903;1631.49
20170904;1476.76
20170905;1509.97
20170906;1669.55
20170907;1684.66
20170908;1570.99
20170909;1528.55
20170910;1477.94
20170911;1517.2
20170912;1522.88
20170913;1362.11
20170914;1239.59
20170915;1307.56
20170916;1253.2
20170917;1289.2
20170918;1417.66
20170919;1413.05
20170920;1408.5
20170921;1315.57
20170922;1231.73
20170923;1316.49
20170924;1320.1
20170925;1388.83
20170926;1385.35
20170927;1447.33
20170928;1452.42
20170929;1447.02
20170930;1494.16
20171001;1469.99
20171002;1483.53
20171003;1454.21
20171004;1444.97
20171005;1485.09
20171006;1513.84
20171007;1509.98
20171008;1579.93
20171009;1575.8
20171010;1593.91
20171011;1596.08
20171012;1689.55
20171013;1810.09
20171014;1815.98
20171015;1775.97
20171016;1832.37
20171017;1758.78
20171018;1658.99
20171019;1720.56
20171020;1770.38
20171021;1763.47
20171022;1748.23
20171023;1666.23
20171024;1707.93
20171025;1643.19
20171026;1736.96
20171027;1701.07
20171028;1691.85
20171029;1776.84
20171030;1796.54
20171031;1844.66
20171101;1859.32
20171102;1898.57
20171103;2026.58
20171104;2017.23
20171105;2027.1
20171106;1993
20171107;1943.67
20171108;2055.2
20171109;2059.57
20171110;2015.87
20171111;2051.94
20171112;2064.33
20171113;2055.9
20171114;2127.53
20171115;2194.77
20171116;2232.45
20171117;2303.18
20171118;2315.96
20171119;2371.32
20171120;2458.26
20171121;2460.02
20171122;2462.18
20171123;2608.87
20171124;2698.48
20171125;2822.62
20171126;2861.73
20171127;2952.61
20171128;3000.25
20171129;3172.2
20171130;2694.08
20171201;3032.83
20171202;3075.1
20171203;3284.05
20171204;3164.39
20171205;3199.81
20171206;3304.02
20171207;3614.74
20171208;3749.15
20171209;3700.67
20171210;3739.55
20171211;4027.33
20171212;4558.92
20171213;4839.88
20171214;5033.04
20171215;5342.69
20171216;5488.18
20171217;5563.29
20171218;5623.94
20171219;5844.91
20171220;5711.72
20171221;5732.78
20171222;4695.29
20171223;5659.25
20171224;4917.43
20171225;5245.86
20171226;5652.75
20171227;5464.41
20171228;5399.97
20171229;6113.93
20171230;5745.97
20171231;6222.94
20180101;5939.4
20180102;6542
20180103;7250.12
20180104;7646.91
20180105;7517.1
20180106;7909.14
20180107;7924.03
20180108;7397.32
20180109;7420.93
20180110;7173.77
20180111;7017.19
20180112;6872.68
20180113;7227.97
20180114;6746.1
20180115;6939.39
20180116;5654.65
20180117;4686.62
20180118;5753.51
20180119;5680.66
20180120;6129.55
20180121;5367.99
20180122;4948.41
20180123;5417.34
20180124;5263.65
20180125;5187.86
20180126;5215.4
20180127;5378.13
20180128;5600.84
20180129;5492.03
20180130;5089.87
20180131;4902.71
20180201;4421.28
20180202;4319.89
20180203;4429.18
20180204;3984.04
20180205;3355.18
20180206;3304.49
20180207;3687.37
20180208;3790.23
20180209;3993.69
20180210;4018.42
20180211;4053.31
20180212;4190.75
20180213;4094.89
20180214;4472.85
20180215;4720.46
20180216;4751.32
20180217;5004.32
20180218;4825.87
20180219;4962.77
20180220;5040.58
20180221;4490
20180222;4259.07
20180223;4392.39
20180224;4290.73
20180225;4194.65
20180226;4446.55
20180227;4549.11
20180228;4449.42
20180301;4557.09
20180302;4527.63
20180303;4672.29
20180304;4610.75
20180305;4802.11
20180306;4519.23
20180307;4086.49
20180308;3934.63
20180309;3683.15
20180310;3958.71
20180311;3867.86
20180312;3821.06
20180313;3825.16
20180314;3490.16
20180315;3315.1
20180316;3496.82
20180317;3230.13
20180318;2868.32
20180319;3314.91
20180320;3468.46
20180321;3448.34
20180322;3322.71
20180323;3319.85
20180324;3408.91
20180325;3255.79
20180326;3076.68
20180327;3048.27
20180328;2941.83
20180329;2748.36
20180330;2518.1
20180331;2626.18
20180401;2387.29
20180402;2581.02
20180403;2721.29
20180404;2502.56
20180405;2498.57
20180406;2423.8
20180407;2573.14
20180408;2604.31
20180409;2513.99
20180410;2556.14
20180411;2609.1
20180412;2882.16
20180413;3183.34
20180414;3057.15
20180415;3207.18
20180416;3091.05
20180417;3167.03
20180418;3157.07
20180419;3327.35
20180420;3577.8
20180421;3714.49
20180422;3800.38
20180423;3829.25
20180424;4060.15
20180425;3712.64
20180426;3697.3
20180427;3893.6
20180428;3961.43
20180429;3947.55
20180430;3923.1
20180501;3746.95
20180502;3910.78
20180503;4084.69
20180504;4168.71
20180505;4376.66
20180506;4165.64
20180507;4020.89
20180508;3978.86
20180509;4013.69
20180510;4045.13
20180511;3623.98
20180512;3526.4
20180513;3747.44
20180514;3793.33
20180515;3680.61
20180516;3555.38
20180517;3581.64
20180518;3449.29
20180519;3554.11
20180520;3593.03
20180521;3570.11
20180522;3482.71
20180523;3165.77
20180524;3165.63
20180525;3136.13
20180526;3164.68
20180527;3055.98
20180528;2937.33
20180529;3037.91
