date;ABBA
20161231;100
20170101;102.17
20170102;107.86
20170103;107.47
20170104;114.92
20170105;101.12
20170106;96
20170107;94.72
20170108;95.29
20170109;94.01
20170110;95.07
20170111;84.56
20170112;84.15
20170113;86.73
20170114;86.92
20170115;86.14
20170116;87.33
20170117;91.75
20170118;91.49
20170119;93.2
20170120;93.4
20170121;96.02
20170122;95.26
20170123;95.31
20170124;94.49
20170125;93.08
20170126;95.18
20170127;95.63
20170128;95.24
20170129;95.35
20170130;95.3
20170131;98.74
20170201;99.65
20170202;102.58
20170203;104.23
20170204;104.01
20170205;104.41
20170206;105.32
20170207;108.24
20170208;108.74
20170209;102.23
20170210;101.36
20170211;104.69
20170212;104.01
20170213;103.98
20170214;105.86
20170215;105.97
20170216;107.64
20170217;109.91
20170218;110.64
20170219;109.86
20170220;110.45
20170221;114.87
20170222;117.22
20170223;119.72
20170224;124.17
20170225;119.55
20170226;123.18
20170227;125.65
20170228;125.43
20170301;128.59
20170302;134.33
20170303;135.76
20170304;133.8
20170305;134.61
20170306;136.65
20170307;134.69
20170308;128.11
20170309;128.6
20170310;133.15
20170311;128.14
20170312;133.11
20170313;137.69
20170314;138.96
20170315;138.38
20170316;140.41
20170317;136.85
20170318;119.07
20170319;124.11
20170320;126.71
20170321;130.34
20170322;121.02
20170323;124.14
20170324;121.41
20170325;117.64
20170326;122.89
20170327;126.31
20170328;129.47
20170329;129.58
20170330;128.67
20170331;132.14
20170401;133.36
20170402;134.12
20170403;136.06
20170404;134.99
20170405;135.42
20170406;138.68
20170407;140.87
20170408;141.17
20170409;141.68
20170410;142.39
20170411;143.88
20170412;142.88
20170413;143.1
20170414;142.1
20170415;142.68
20170416;141.47
20170417;143.16
20170418;144.23
20170419;145.05
20170420;146.59
20170421;147.39
20170422;145.85
20170423;146.93
20170424;148
20170425;150.23
20170426;154.45
20170427;160.71
20170428;164.02
20170429;168.12
20170430;166.92
20170501;177.79
20170502;181.74
20170503;185
20170504;200.21
20170505;198.98
20170506;196.65
20170507;198.95
20170508;204.59
20170509;214.89
20170510;223.08
20170511;229.81
20170512;219.08
20170513;212
20170514;220.28
20170515;213.25
20170516;214.55
20170517;219.92
20170518;226.54
20170519;245.68
20170520;253.48
20170521;264.43
20170522;301.69
20170523;306.1
20170524;331.32
20170525;363.79
20170526;324.69
20170527;280.04
20170528;290.18
20170529;312.08
20170530;319.54
20170531;335.09
20170601;345.13
20170602;343.78
20170603;356.85
20170604;367.06
20170605;376.02
20170606;403.75
20170607;399.4
20170608;392.09
20170609;413.5
20170610;428.81
20170611;456.77
20170612;467.51
20170613;461.89
20170614;443.79
20170615;373.4
20170616;422.09
20170617;437.79
20170618;436.89
20170619;434.06
20170620;448.39
20170621;425.07
20170622;433.93
20170623;430.84
20170624;421.24
20170625;401.12
20170626;355.41
20170627;340.81
20170628;395.35
20170629;396.46
20170630;390.98
20170701;372.29
20170702;369.92
20170703;391.97
20170704;388.36
20170705;378.88
20170706;382.21
20170707;365.83
20170708;367.86
20170709;368.27
20170710;337.5
20170711;325.44
20170712;331.56
20170713;327.13
20170714;312.23
20170715;283.6
20170716;257.61
20170717;280.93
20170718;329.98
20170719;333.97
20170720;361.41
20170721;365.01
20170722;372.37
20170723;374.64
20170724;371.61
20170725;348.4
20170726;330
20170727;346.69
20170728;363.57
20170729;354.79
20170730;364.05
20170731;365.7
20170801;369.04
20170802;426.18
20170803;422.43
20170804;418.65
20170805;450.8
20170806;466.91
20170807;495.57
20170808;507.77
20170809;489.94
20170810;511.64
20170811;520.25
20170812;558.31
20170813;558.97
20170814;586.04
20170815;554.26
20170816;591.22
20170817;595.55
20170818;582.41
20170819;554.86
20170820;565.87
20170821;577.32
20170822;558.35
20170823;592.73
20170824;596.92
20170825;616.29
20170826;601.83
20170827;609.87
20170828;608.2
20170829;648.52
20170830;660.89
20170831;673.38
20170901;693.75
20170902;644.09
20170903;630.75
20170904;575.36
20170905;581.21
20170906;637.01
20170907;637.06
20170908;591.78
20170909;577.39
20170910;558.95
20170911;579.04
20170912;584.59
20170913;525.36
20170914;481.14
20170915;507.49
20170916;488.38
20170917;502.93
20170918;557.54
20170919;555.87
20170920;558.46
20170921;523.03
20170922;490.81
20170923;524.99
20170924;526.81
20170925;551.67
20170926;551.08
20170927;572.79
20170928;577.71
20170929;577.9
20170930;598.8
20171001;592.37
20171002;602.83
20171003;590.58
20171004;584.04
20171005;596.69
20171006;607.07
20171007;607.95
20171008;632.85
20171009;632.67
20171010;647.69
20171011;648.15
20171012;701.33
20171013;759.61
20171014;759.13
20171015;736.91
20171016;757.55
20171017;737.02
20171018;706.51
20171019;733.05
20171020;772.12
20171021;781.04
20171022;769.2
20171023;738.13
20171024;743.86
20171025;718.67
20171026;773.76
20171027;753.34
20171028;747.1
20171029;782.01
20171030;790.02
20171031;822.54
20171101;843.4
20171102;871.44
20171103;913.3
20171104;919.33
20171105;935.53
20171106;898.53
20171107;877.28
20171108;933.24
20171109;909.49
20171110;870.82
20171111;824.42
20171112;801.18
20171113;826.19
20171114;848.57
20171115;909.01
20171116;946.92
20171117;982.05
20171118;960.41
20171119;991.53
20171120;1042.46
20171121;1044.44
20171122;1027.53
20171123;1049.75
20171124;1070.57
20171125;1135.08
20171126;1182.68
