date;CCALT
20161231;1000
20170101;1008.57
20170102;1045.18
20170103;1193.19
20170104;1338.07
20170105;1252.49
20170106;1260.17
20170107;1200.99
20170108;1298.59
20170109;1303.93
20170110;1318.66
20170111;1212.49
20170112;1242.54
20170113;1202.98
20170114;1236.71
20170115;1218.76
20170116;1196.78
20170117;1305.79
20170118;1263.67
20170119;1306.15
20170120;1327.12
20170121;1363.25
20170122;1343.21
20170123;1344.39
20170124;1317.39
20170125;1304.89
20170126;1313.88
20170127;1314.56
20170128;1310.7
20170129;1302.65
20170130;1330.11
20170131;1333.56
20170201;1339.71
20170202;1347.43
20170203;1354.11
20170204;1412.33
20170205;1398.76
20170206;1415.62
20170207;1425.75
20170208;1418.39
20170209;1353.69
20170210;1419.8
20170211;1425.47
20170212;1417.81
20170213;1405.23
20170214;1622.27
20170215;1624.61
20170216;1598.07
20170217;1585.25
20170218;1598.8
20170219;1597.56
20170220;1597.43
20170221;1585.79
20170222;1572.96
20170223;1653.07
20170224;1626.52
20170225;1704.36
20170226;1787.25
20170227;1894.4
20170228;1959.45
20170301;2040.01
20170302;2408.12
20170303;2462.28
20170304;2342.94
20170305;2363.83
20170306;2470.5
20170307;2357.68
20170308;2140.74
20170309;2204.44
20170310;2295.34
20170311;2572.24
20170312;2848.08
20170313;3552.25
20170314;3536.52
20170315;4120.24
20170316;5470.07
20170317;5710.91
20170318;4267.89
20170319;5357.16
20170320;5310.53
20170321;5288.39
20170322;5030.76
20170323;5350.27
20170324;6122.03
20170325;6515.43
20170326;6230.33
20170327;6218.4
20170328;6258.02
20170329;6592.23
20170330;6525.22
20170331;6034.19
20170401;6450.71
20170402;6189.89
20170403;5652.39
20170404;5515.02
20170405;5588.83
20170406;5178.53
20170407;5260.99
20170408;5600.52
20170409;5423.04
20170410;5450.7
20170411;5442.03
20170412;5776.08
20170413;6128.5
20170414;5812.46
20170415;6054.69
20170416;5942.61
20170417;5950.2
20170418;6159.29
20170419;6188.18
20170420;6134.53
20170421;6055.48
20170422;6043.94
20170423;6054.56
20170424;6200.49
20170425;6229.24
20170426;6733.32
20170427;7746.43
20170428;8632.59
20170429;8948.32
20170430;9701.13
20170501;9521.19
20170502;9775.76
20170503;10044.16
20170504;11409.77
20170505;12038.5
20170506;12755.18
20170507;14308.83
20170508;14439.93
20170509;14184.86
20170510;14677.3
20170511;15023.93
20170512;14996.06
20170513;15618.04
20170514;16042.54
20170515;16931.1
20170516;18864.7
20170517;21399.32
20170518;20771.73
20170519;22850.22
20170520;24107.06
20170521;25061.77
20170522;26396.98
20170523;27408.5
20170524;29163.79
20170525;27074.91
20170526;26048.48
20170527;22556.6
20170528;23599
20170529;27501.53
20170530;28868.51
20170531;30648.01
20170601;33765.83
20170602;33293.04
20170603;32564.56
20170604;34642.73
20170605;35430.73
20170606;36008.43
20170607;35518.19
20170608;35611.25
20170609;36919.85
20170610;39222.31
20170611;42424.1
20170612;42219.47
20170613;44694.55
20170614;42954.57
20170615;38850.91
20170616;41476.07
20170617;44336.38
20170618;41994.3
20170619;44000.89
20170620;44353.21
20170621;39427.97
20170622;40879.13
20170623;42386.62
20170624;40135.68
20170625;36184.18
20170626;31289.58
20170627;35434.15
20170628;40340.54
20170629;38623.35
20170630;37291.76
20170701;33816.56
20170702;36653.97
20170703;37113.97
20170704;36575.37
20170705;36406.42
20170706;36262.5
20170707;33735.98
20170708;33362.87
20170709;33477.28
20170710;29842.74
20170711;26202.72
20170712;29458.31
20170713;28189.88
20170714;26178.68
20170715;24934.13
20170716;21168.2
20170717;25506.17
20170718;31351.66
20170719;26860
20170720;30462.22
20170721;28775.05
20170722;30760.2
20170723;31523.98
20170724;30815.05
20170725;26543.59
20170726;27661.28
20170727;27773.35
20170728;26768.66
20170729;27103.22
20170730;26799.23
20170731;27341.8
20170801;30494.1
20170802;29504.85
20170803;30131.53
20170804;29835.82
20170805;32929.18
20170806;34403.49
20170807;34103.48
20170808;37199.32
20170809;37284.66
20170810;37309.58
20170811;36919.53
20170812;37314
20170813;35681.22
20170814;35898.32
20170815;34041.84
20170816;35791.22
20170817;36047.98
20170818;34781.38
20170819;35257.82
20170820;35854.69
20170821;39058.29
20170822;41569.48
20170823;41258.38
20170824;41588.36
20170825;41955.91
20170826;42684.96
20170827;43055
20170828;44785.34
20170829;46524.92
20170830;47975.82
20170831;49961.94
20170901;51544.41
20170902;44581.06
20170903;46112.8
20170904;41649.11
20170905;42590.07
20170906;44969.58
20170907;44920.54
20170908;40600.6
20170909;40814.04
20170910;40982.11
20170911;40179.86
20170912;39746.19
20170913;36875.35
20170914;31875.31
20170915;34619.68
20170916;33794.08
20170917;34410.4
20170918;37390.75
20170919;36750.3
20170920;37055.1
20170921;33760.8
20170922;33730.4
20170923;35868.71
20170924;35620.42
20170925;37461.22
20170926;37155.64
20170927;39787.93
20170928;38921.2
20170929;37949.79
20170930;39074.83
20171001;38439.49
20171002;38098.72
20171003;37172.3
20171004;36886.82
20171005;38100.06
20171006;38503.4
20171007;38779.91
20171008;39686.17
20171009;36977.25
20171010;38211.89
20171011;38532.44
20171012;38280.25
20171013;40986.99
20171014;41904.18
20171015;40794.96
20171016;40918.72
20171017;39254.74
20171018;37808.71
20171019;37940.49
20171020;37436.06
20171021;36352.77
20171022;35991.51
20171023;34724.44
20171024;37343.11
20171025;36711.65
20171026;36351.06
20171027;36623.77
20171028;36727.35
20171029;38784.63
20171030;38229.55
20171031;38013.13
20171101;37545.11
20171102;37413.64
20171103;40378.75
20171104;39466.52
20171105;39219.08
20171106;39837.77
20171107;39475.38
20171108;42021.46
20171109;43481.42
20171110;44374.6
20171111;49980.42
20171112;51585.35
20171113;50738.3
20171114;51203.53
20171115;49805.23
20171116;48493.28
20171117;50957.25
20171118;52884.71
20171119;52992.73
20171120;55159.2
20171121;54441.79
20171122;57203.65
20171123;62988.46
20171124;66749.35
20171125;68057.17
20171126;68482.86
20171127;68981
20171128;69452.86
20171129;65500.3
